Dish_Name,Diet_Type,Ingredients_Text
badshahi chicken recipe,Non Vegeterian,"350 grams Chicken - curry cut pieces,1 Onions - sliced,2 Onions - paste,3/4 tablespoon Ginger - paste,3/4 tablespoon Garlic - paste,150 grams Curd (Dahi / Yogurt),20 grams Cashew nuts - paste,1 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1/2 teaspoon Red Chilli powder,1/2 tablespoon Kashmiri Red Chilli Powder,2 Green Chillies - slit,Salt - to taste,1 tablespoons Sugar,Sunflower Oil - to cook,1 tablespoon Ghee,1/4 cup Milk,1/2 teaspoon Rose water - (optional),2 Cloves (Laung),1 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini),1/2 Nutmeg,3 Cardamom (Elaichi) Pods/Seeds,1/2 Mace (Javitri),1 Black cardamom (Badi Elaichi)"
vegetarian pot pie recipe,Vegetarian,"1 1/2 cups Whole Wheat Flour,1/2 cup All Purpose Flour (Maida),100 grams Butter - cold,1/2 teaspoon Salt,3 tablespoons Chilled water,1 teaspoon Fresh Thyme leaves - crushed,1 teaspoon Parsley leaves - chopped,2 Carrots (Gajjar) - diced,10 Green beans (French Beans) - ends removed and cut into 1"" pieces,1/4 cup Green peas (Matar),1/4 cup Corn Kernels,7 Button mushrooms - sliced,1 Onion - chopped,3 cloves Garlic - crushed,1/2 cup Broccoli - or cauliflower florets,1 Red Bell pepper (Capsicum) - chopped,1 Yellow Bell Pepper (Capsicum) - chopped,1 Potato (Aloo) - diced (or sweet potato),3 tablespoon Whole Wheat Flour,1 1/2 cups Vegetable stock,2 Bay leaves (tej patta),3 tablespoon Worcestershire sauce - (optional),1 tablespoon Tabasco Original - Hot Sauce - 3/4 teaspoon red chilli powder,1/2 cup Fresh cream - (or milk),2 teaspoon Butter,2 teaspoon Sunflower Oil,3 sprig Fresh Thyme leaves - chopped,3 sprig Parsley leaves - chopped,Salt - to taste,Whole Egg - whisked"
sweet potato and broccoli sabzi recipe,Vegetarian,"2 cups Broccoli - cut into florets,1 Sweet Potato - peeled and cut lengthwise,1/2 teaspoon Cumin powder (Jeera),1 teaspoon Turmeric powder (Haldi),Salt - to taste,1/2 teaspoon Kalonji (Onion Nigella Seeds),1 teaspoon Sunflower Oil,1 teaspoon Red Chilli powder,Salt - to taste"
alfredo spaghetti with roasted mushroom & broccoli recipe,Vegetarian,"1 cup Classic Alfredo Pasta Sauce,4 cloves Garlic - minced,1 cup Button mushrooms - quartered,1 cup Broccoli - cut into small florets,1 teaspoon Dried oregano,1 teaspoon Red Chilli flakes,Salt and Pepper - to taste"
andhra style mirapakaya bajji recipe - stuffed chilli recipe,Vegetarian,"6 Badi hari mirch (Large Green Chilli),2 tablespoon Roasted Gram Dal (Pottukadalai),1 teaspoon Red Chilli powder,1 teaspoon Cumin powder (Jeera),1 teaspoon Ajwain (Carom seeds),1 teaspoon Chaat Masala Powder,5 grams Tamarind,1 pinch Asafoetida (hing),Salt - to taste,1 cup Gram flour (besan),1/3 cup Rice flour,1 teaspoon Red Chilli powder,1 teaspoon Enos fruit salt,1 pinch Asafoetida (hing),Salt - to taste,Sunflower Oil - for deep frying,1 Onion - chopped,3 sprig Coriander (Dhania) Leaves - chopped"
pudina quinoa recipe,Vegetarian,"1 cup Quinoa,1 Onion - finely chopped,6 cloves Garlic - finely chopped,1 Green Chilli - slit,1 inch Cinnamon stick,2 Cloves (Laung),2 Cardamom (Elaichi) Pods/Seeds,1/4 Mint Leaves (Pudina) - finely chopped,Salt,1 teaspoon Ghee"
sprouted ragi chicken cutlet recipe,High Protein Non Vegetarian,"1/3 cup Ragi Seeds - soaked overnight and sprouted,250 grams Boneless chicken,1/2 cup Potato (Aloo) - boiled and mashed,1/2 cup Carrots (Gajjar) - boiled and mashed,1 cup Instant Oats (Oatmeal),1 Onion - finely chopped,4 cloves Garlic - mashed,1 inch Ginger - grated,2 Green Chillies - finely chopped,1/2 teaspoon Garam masala powder,1/2 teaspoon Cumin powder (Jeera),1 teaspoon Black pepper powder,1/3 cup Coriander (Dhania) Leaves - finely chopped,Salt - to taste"
homemade ice-cream cake recipe,High Protein Non Vegetarian,"1 1/2 liter Chocolate Ice cream - softened,1 1/2 liter Vanilla Ice cream,Strawberry Cake - A 9-inch strawberry cake,1 cup Decorative sugar (Cake/ Candy Sprinkles) - for decorating,1 cup Chocolate chips,4 Whole Eggs - at room temperature,3/4 cup Sunflower Oil,2 cups All Purpose Flour (Maida),2 1/2 cups Sugar,2 teaspoon Vanilla Extract,2 teaspoon Baking powder,1/2 teaspoon Strawberry Essense,1 cup Milk - warm"
one pot pav bhaji recipe using preethi electric pressure cooker,High Protein Non Vegetarian,"12 Pav buns,1 Onions - finely chopped for serving,1 sprig Coriander (Dhania) Leaves - finely chopped for garnishing,1 Onion - finely chopped,1 teaspoon Ginger - grated,3 cloves Garlic - grated,1 cup Tomato - puree,1 Green Bell Pepper (Capsicum) - finely chopped,2 Carrots (Gajjar) - diced,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - chopped,3 Potatoes (Aloo) - peeled and diced,2 teaspoons Pav bhaji masala,1 teaspoon Chaat Masala Powder,1/2 cup Green peas (Matar) - steamed,1 tablespoon Lemon juice,2 tablespoons Butter,Salt - to taste"
cuban black bean salad recipe,High Protein Vegetarian,"1 Canned black beans - (canned) drained & rinsed,2 Tomatoes - diced (or cherry tomatoes),1 Red Yellow and Green Bell Peppers (Capsicum) - finely chopped,1 Red onion - chopped,1 cup Sweet corn - steamed,1 teaspoon Dried oregano,Parsley leaves - small bunch,Salt - to taste,2 tablespoons Extra Virgin Olive Oil,3 tablespoons Fresh orange juice,2 cloves Garlic - minced,1/2 teaspoon Orange Zest (Rind),1/2 teaspoon Dried oregano,2 teaspoon Cumin powder (Jeera),1/2 teaspoon Black pepper powder,Salt - to taste"
kollu masala dosa recipe - high protein horse gram dosa,Vegetarian,"1 cup Rice,1/2 cup Horse Gram Dal (Kollu/ Kulith),1 teaspoon Methi Seeds (Fenugreek Seeds),Water - to make the batter,Sunflower Oil - for frying,Salt - to taste,2 Potato (Aloo) - cooked and cubed,1 Onion - sliced,1/2 teaspoon Mustard seeds,1 sprig Curry leaves,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1 Green Chilli,1/2 cup Coriander (Dhania) Leaves - chopped for garnish,1 teaspoon Sunflower Oil"
बंगाली स्टाइल शाक भाजा रेसिपी - stir fried green amaranth leaves (recipe in hindi),Vegetarian,"300 ग्राम्स अमरांथ के पत्ते,1/2 छोटा चमच्च खुस खुस,1/2 कप मूंगफली  - सेक ले,2 सुखी लाल मिर्च,3 कली लहसुन - बारीक काट ले,1 इंच अदरक - कास ले,1 छोटा चमच्च जीरा पाउडर,नमक - स्वाद अनुसार,सरसों का तेल - प्रयोग अनुसार"
kashmiri style haak t thool recipe - greens cooked with eggs,Eggetarian,"4 Greens - (collard greens,3 to 4 tablespoons Mustard oil,2 Whole Eggs - hard boiled,1 teaspoon Asafoetida (hing),2 Dry Red Chilli,1 Green Chilli - optional,Sunflower Oil - as required"
savoury baked arbi chips recipe,Vegetarian,"6 Colocasia root (Arbi) - thinly sliced,1 tablespoon Extra Virgin Olive Oil - to toss,Salt - to taste,Black pepper powder - to taste,Amchur (Dry Mango Powder) - to taste (optional)"
gujarati vaghareli mag recipe - whole green moong dal sabzi recipe,High Protein Vegetarian,"1 cup Green Moong Dal (Whole) - soaked overnight,1 teaspoon Cumin seeds (Jeera),1 sprig Curry leaves - torn,2 inch Ginger - finely chopped,1 Green Chillies - finely chopped or slit,1/2 teaspoon Turmeric powder (Haldi),1 Lemon - juice extracted,6 sprig Coriander (Dhania) Leaves - finely chopped,1 teaspoon Sunflower Oil,1 teaspoon Salt - or to taste"
gujarati adadiya ladwa recipe - urad dal halwa with nuts & spices,Vegetarian,"2 cups Urad Dal Flour - coarsely ground to a flour,2 cups Ghee - + 1/4 cup ghee,1/2 cup Milk - lukewarm,1 cup Sugar,1-3/4 cups Khoya (Mawa) - crumbled,2 tablespoon Gond (natural gum) - shallow fried in ghee and crushed,1/4 cup Raisins - chopped,1/3 cup Cashew nuts - chopped,1/2 cup Badam (Almond) - chopped,2 tablespoons Pistachios - chopped,4 tablespoons Dry ginger powder,2 tablespoons Cardamom Powder (Elaichi),2 tablespoons Cinnamon Powder (Dalchini),2 tablespoons Cloves (Laung) - powdered,1-1/2 tablespoon Black pepper powder,1 1/2 tablespoon Peepramul powder (ganthoda),2 Badam (Almond) - sliced or pistachois will also do for garnishing"
mung bean sprouts salad recipe with brussel sprouts and pomegranate,High Protein Vegetarian,"1 cup Green Moong Sprouts,1/2 cup Fresh Pomegranate Fruit Kernels,5 Brussel sprouts - shredded,15 Cranberries,1 teaspoon Honey - optional,1 Green Chilli - finely chopped,1 Lemon - juiced,Salt and Pepper - to taste"
badam pottukadalai ladoo recipe - almond chana dal ladoo,Vegetarian,"1 cup Roasted Gram Dal (Pottukadalai),1/4 cup Jaggery - powdered,1 teaspoon Cardamom Powder (Elaichi) - crushed,1/4 cup Almond Meal (Badam Powder),1/4 cup Ghee"
konkani style sol kadhi recipe - kokum flavored coconut curry,Vegetarian,"8 Kokum (Malabar Tamarind) - soaked with 1 cup water,1/2 cup Fresh coconut,1 sprig Coriander (Dhania) Leaves - chopped,1 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,2 Dry Red Chillies,1 sprig Curry leaves,1 pinch Asafoetida (hing),4 cloves Garlic - crushed"
kokum saar recipe - traditional maharashtrian kokum drink,Vegetarian,"3 tablespoon Kokum (Malabar Tamarind) - unsweetened juice,2-1/4 cup Water,3 tablespoon Jaggery - grated,1 tablespoon Ghee,2 teaspoon Cumin seeds (Jeera),2-3 Dry Red Chillies - broken or 1-2 green chillies,1/2 teaspoon Asafoetida (hing),5-6 Curry leaves,2 teaspoon Coriander (Dhania) Leaves - chopped,Salt - as required (if using unsalted juice)"
lemon oats recipe,Vegetarian,"1 cup Instant Oats (Oatmeal),3/4 cup Water,1 Onion,1 sprig Curry leaves,3 Green Chillies,1 teaspoon Ginger - grated,2 tablespoon Lemon juice,1 tablespoon Sunflower Oil,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1-1/2 teaspoon White Urad Dal (Split),1 tablespoon Chana dal (Bengal Gram Dal),1/4 teaspoon Asafoetida (hing),3/4 teaspoon Turmeric powder (Haldi),Salt - to taste,Coriander (Dhania) Leaves - for garnish,Roasted Peanuts (Moongphali) - for garnish"
marrakesh vegetable curry recipe,Vegetarian,"6 Green beans (French Beans) - chopped,1 Carrot (Gajjar) - peeled and diced,1 Sweet Potato - peeled and diced,1 Brinjal (Baingan / Eggplant) - diced,1 Green zucchini - diced,1 Red Yellow or Green Bell Pepper (Capsicum) - chopped,1 Onion - chopped,1 cup Spinach - chopped,3 cloves Garlic,2 inch Cinnamon Stick (Dalchini),1 teaspoon Curry powder,1/2 teaspoon Turmeric powder (Haldi),1 cup Fresh orange juice,Badam (Almond) - a few,Raisins - a few,1 teaspoon Black pepper powder,2 tablespoons Sunflower Oil"
chilli cheese paratha recipe,Vegetarian,"200 grams Britannia Cheese Block - grated,6 Green Chillies - finely chopped,2 Onions - finely chopped,1/2 cup Mint Leaves (Pudina),2 teaspoon Cumin powder (Jeera),2 cups Whole Wheat Flour,2 teaspoon Kalonji (Onion Nigella Seeds),Salt - to taste,Ghee - to smear while cooking"
chicken sholay kebab recipe,Non Vegeterian,"300 grams Boneless chicken - cut into chunks,4 sprig Curry leaves,2 inch Ginger,6 cloves Garlic,2 Green Chillies,1 tablespoon Rice flour,3 tablespoons All Purpose Flour (Maida),1 tablespoon Gram flour (besan),2 tablespoons Kashmiri Red Chilli Powder,Salt - to taste,1 teaspoon Sambar Powder,1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),Sunflower Oil - as required"
मूलांगी तौव्वे रेसिपी - moolangi tovve recipe,Vegetarian,"3 मूली - छीलकर काट ले,1/2 कप पिली मूंग दाल,1 छोटा चम्मच हल्दी पाउडर,2 हरी मिर्च - बारीक काट ले,1 छोटा चम्मच अदरक - कस ले,2 बड़े चम्मच नारियल - कस ले,1 बड़ा चम्मच घी,1 छोटा चम्मच राइ,2 सुखी लाल मिर्च,हींग - चुटकी भर,हरा धनिया - थोड़ा,1 निम्बू - काट ले"
kongunadu kathirikai rasam recipe - spicy & tangy eggplant rasam,Vegetarian,"10 Small Brinjal (Baingan / Eggplant),1 Tomato - finely chopped,1/2 cup Tamarind Water,1/4 teaspoon Turmeric powder (Haldi),Salt - to taste,1 tablespoon Coriander (Dhania) Seeds,2 teaspoons Arhar dal (Split Toor Dal),1 teaspoon Cumin seeds (Jeera),2 Dry Red Chillies - (adjust according to the heat of the chilli),4 cloves Garlic,1 teaspoon Whole Black Peppercorns,1 sprig Curry leaves,4 sprig Coriander (Dhania) Leaves - finely chopped,2 teaspoons Ghee,1 teaspoon Mustard seeds,1 Dry Red Chilli - cut it into smaller pieces,5 Curry leaves - tear them roughly,1 pinch Asafoetida (hing)"
बीटरूट पोरियल रेसिपी - beetroot poriyal (recipe in hindi),Vegetarian,"2 बीटरूट - छोटा छोटा काट ले,1/2 छोटा चमच्च राइ,1/2 छोटा चमच्च जीरा,1 छोटा चमच्च सफ़ेद उरद दाल,4 कढ़ी पत्ता - तोड़ दे,1/4 छोटा चमच्च हींग,1/4 छोटा चमच्च हल्दी पाउडर,1 बड़ा चमच्च नारियल - कस ले,तेल - प्रयोग अनुसार,नमक - स्वाद अनुसार,1/2 कप छोटे प्याज - बारीक काट ले,2 हरी मिर्च - बारीक काट ले"
टमाटर प्याज की चटनी रेसिपी - tomato onion chutney recipe,Vegetarian,"4 टमाटर - काट ले,1/2 कप छोटे प्याज,1 हरी मिर्च,1/4 छोटा चम्मच हींग - वैकल्पिक,1/4 छोटा चम्मच हल्दी पाउडर,1 बड़ा चम्मच तिल का तेल - या कोई भी तेल,नमक - स्वाद अनुसार,1 छोटा चम्मच तिल का तेल,1/2 छोटा चम्मच राइ - या कोई भी तेल,1 छोटा चम्मच सफ़ेद उरद दाल,4 कढ़ी पत्ता"
kesar peda recipe,Vegetarian,"300 grams Khoya (Mawa) - store bought or home made,4 tablespoons Sugar,1 teaspoon Saffron strands,2 tablespoons Milk,1/4 teaspoon Cardamom Powder (Elaichi),1 tablespoon Pistachios - sliced,1/2 teaspoon Ghee - optional"
mushroom methi brown rice recipe,Vegetarian,"1 cup Brown Rice,1 cup Button mushrooms - sliced thin,1 cup Methi Leaves (Fenugreek Leaves) - chopped,2 Onions - finely chopped,2 Tomatoes - finely chopped,3 Green Chillies - slit,5 cloves Garlic - chopped,1 teaspoon Red Chilli powder,2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,2 tablespoons Sunflower Oil"
south indian onion chutney recipe,Vegetarian,"2 Onions,1 teaspoon Cumin seeds (Jeera),2 tablespoons Black Urad Dal (Split),1 tablespoon Tamarind Paste,3 Dry Red Chillies,1/2 teaspoon Jaggery,2 teaspoons Sunflower Oil,Salt - to taste,1 teaspoon Mustard seeds,1 sprig Curry leaves,1/2 teaspoon Sunflower Oil"
the paruppu podi recipe - south indian spiced dal chutney powder,Vegetarian,"1 cup Arhar dal (Split Toor Dal),1/4 cup Chana dal (Bengal Gram Dal) - roasted,6 Dry Red Chillies,1 teaspoon Whole Black Peppercorns,1 teaspoon Cumin seeds (Jeera),10 Curry leaves,1/4 teaspoon Asafoetida (hing),Salt - to taste"
ruote pasta & eggplant gratin recipe,Vegetarian,"1 cup Route Pasta -  Del Monte Ruote pasta,4-5 tablespoon Extra Virgin Olive Oil,1/4 cup Sweet corn - Delmonte,7-8 Del Monte Black Olives - halved,1/2 cup Tomato Basil Pasta Sauce - Del Monte pasta sauce,1 Red Bell pepper (Capsicum) - chopped,1 Onion - chopped,4-5 cloves Garlic - minced,1/4 cup Soy granules - soaked in hot water for 15 minutes and drained,1 Brinjal (Baingan / Eggplant) - sliced (into rounds),2 teaspoons Red Chilli flakes,1-2 teaspoon Whole Black Peppercorns - crushed,2 sprig Basil leaves - torn,2 sprig Parsley leaves - chopped,1/2 cup Gouda cheese - shredded or crumbled,3-4 tablespoons Whole Wheat Bread crumbs"
barnyard millet bisi bele bath recipe,Vegetarian,"1/4 cup Bisi Bele Bhat Spice Powder,10 Pearl onions (Sambar Onions) - peeled,1 Green Bell Pepper (Capsicum) - diced,2 Carrots (Gajjar) - diced,1/4 cup Green peas (Matar),1/2 cup Green beans (French Beans) - diced,1 Potato (Aloo) - peeled and diced,1 Drumstick - cut into 1 inch pieces,2 Tomatoes - roughly chopped,1-1/2 cups Tamarind Water,2 teaspoons Jaggery,Salt - to taste,1 cup Barnyard Millet,1 cup Arhar dal (Split Toor Dal),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 tablespoon Ghee,1 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),2 Dry Red Chilli,1 sprig Curry leaves,Coriander (Dhania) Leaves - a small bunch"
maharashtrain amti recipe,High Protein Vegetarian,"1 cup Arhar dal (Split Toor Dal),1/2 teaspoon Turmeric powder (Haldi),3/4 cup Water,2 teaspoon Maharashtrian Goda Masala,20 grams Tamarind - in 2 tablespoon of water,1/2 teaspoon Jaggery,Salt - to taste,Coriander (Dhania) Leaves - for garnish,1 teaspoon Sunflower Oil,1 teaspoon Ghee,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Asafoetida (hing),1 sprig Curry leaves,2 Green Chillies"
onion bajji recipe -vengaya bajji/ south indian onion pakora,Vegetarian,"2 Onions - Cut into roundels,1 cup Gram flour (besan),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Ajwain (Carom seeds),1 pinch Asafoetida (hing),Salt - to taste"
khichdi roti recipe,Vegetarian,"1 cup Khichdi/Pongal,1/4 cup Rice flour - or as needed,Sunflower Oil - as needed,1/4 cup Onion - finely diced (optional),Salt - to taste"
foxtail millet rava idli recipe,Diabetic Friendly,"3/4 cup Foxtail Millet,3/4 cup Curd (Dahi / Yogurt) - beaten,1/2 cup Carrot (Gajjar) - grated,2 Green Chillies - finely chopped (adjust),1/2 inch Ginger - grated,1 pinch Enos fruit salt,Coriander (Dhania) Leaves - small bunch,Water - as needed,Salt - to taste,1 teaspoon Sunflower Oil,1/2 teaspoon Mustard seeds,1/2 teaspoon White Urad Dal (Split),1/2 teaspoon Chana dal (Bengal Gram Dal),Cashew nuts - a few,Curry leaves - few sprigs"
besan oats ladoo recipe,Vegetarian,"1 cup Gram flour (besan),1/2 cup Instant Oats (Oatmeal),3/4 cup Sugar - powdered,1/4 tablespoon Cardamom Powder (Elaichi),1/4 cup Ghee,1-2 tablespoon Pistachios - coarsely powdered"
ada pradhaman recipe with homemade ada- kerala special payasam recipe,Vegetarian,"3/4 cup Jaggery - powdered,1 cup Coconut milk - thick one,2 Cardamom (Elaichi) Pods/Seeds - powdered,1/2 teaspoon Ghee,1/4 cup Rice flour,1/4 cup Hot water,Salt - a pinch,1 Banana leaf,1/2 teaspoon Sunflower Oil - for greasing,10 Cashew nuts,1/4 cup Fresh coconut - finely chopped or thinly sliced coconut pieces,10 Raisins,1 teaspoon Ghee"
अचारी पनीर रेसिपी - spicy pickled paneer gravy (recipe in hindi),High Protein Vegetarian,"250 ग्राम्स पनीर,घी - या तेल,2 बड़ा चमच्च अचार - आम का अचार मसाले के साथ,2 प्याज - कस ले,1 बड़ा चमच्च अदरक लहसुन का पेस्ट,1/2 बड़ा चमच्च लाल मिर्च पाउडर,1/2 छोटा चमच्च हल्दी पाउडर,1/2 छोटा चमच्च जीरा पाउडर,1/2 छोटा चमच्च गरम मसाला पाउडर,1 छोटा चमच्च अजवाइन,1 छोटा चमच्च सौंफ,पानी - प्रयोग अनुसार,1 शिमला मिर्च (हरी) - काट ले,1 कप टमाटर प्यूरी,1 छोटा चमच्च कसूरी मेथी,नमक - स्वाद अनुसार,Few टहनी हरा धनिया - बारीक काट ले"
grilled herring with kasundi mustard and wild celery recipe,High Protein Non Vegetarian,"4 Herring Fish Steaks,1 teaspoon Ginger Garlic Paste,2 tablespoons Apple cider vinegar,1 tablespoon Extra Virgin Olive Oil,1/2 teaspoon Celery - (wild celery),1 tablespoon Kasundi mustard sauce,1 teaspoon Lemon juice,Salt - to taste,1 teaspoon Red Chilli flakes"
creamy coconut poached pears recipe,Vegan,"250 ml Coconut milk,1 tablespoon Coconut Sugar,2 Pears,1/2 inch Cinnamon Stick (Dalchini),1 Cardamom (Elaichi) Pods/Seeds,1 tablespoon Slivered Almonds (Badam)"
mutton dak bungalow curry recipe,Non Vegeterian,"500 grams Mutton - bones,3 tablespoons Curd (Dahi / Yogurt),2 tablespoons Ginger Garlic Paste,1 teaspoon Red Chilli powder,1 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Mustard oil,4 Whole Eggs - hard boiled,4 Potatoes (Aloo) - small,3 tablespoons Mustard oil,1 tablespoon Ghee,1/2 teaspoon Radhuni - special bengali spice (optional),1/3 teaspoon Methi Leaves (Fenugreek Leaves),1 Bay leaf (tej patta),1 Onion - sliced,Tomato - sliced,1 teaspoon Ginger - paste,1-1/12 teaspoon Garlic - paste,Salt - to taste,1 inch Cinnamon Stick (Dalchini),3 Cardamom (Elaichi) Pods/Seeds,1 Black cardamom (Badi Elaichi),1 Mace (Javitri) - blade,1/4 teaspoon Nutmeg powder,1 teaspoon Cumin seeds (Jeera),1 tablespoon Coriander (Dhania) Seeds,2 Green Chillies - as per taste,Dry Red Chilli - as per taste,4 Whole Black Peppercorns"
french brioche recipe (savoury version),Eggetarian,"500 grams All Purpose Flour (Maida),1/2 teaspoon Salt,2 teaspoons Active dry yeast,2 tablespoons Sugar,2 Whole Eggs,1 tablespoon Butter,200 ml Milk,1 cup Homemade Pizza And Pasta Sauce,1 tablespoon Milk,2 tablespoons Sunflower Oil"
karnataka style avarekalu huli saru recipe (field beans in a coconut based gravy recipe),Vegetarian,"1/2 cup Avarekalu / Lilva Beans - Field beans,1 Potato (Aloo) - diced,1 Brinjal (Baingan / Eggplant) - diced,15 cloves Garlic - crushed,1 Pearl onions (Sambar Onions) - finely chopped,1 Tomato - chopped,Salt - to taste,18 grams Tamarind,1/2 cup Fresh coconut,1 tablespoon Red Chilli powder,2 teaspoon Coriander (Dhania) Leaves,1/8 teaspoon Turmeric powder (Haldi),1 sprig Coriander (Dhania) Leaves,1/2 teaspoon Mustard seeds,1/4 teaspoon Cumin seeds (Jeera),1/2 teaspoon White Urad Dal (Split),2 sprig Curry leaves,Sunflower Oil - sauteing"
spicy mexican salsa verde recipe - green tomato salsa,Vegetarian,"8 Tomatillo - or green raw tomatoes,3 Green Chillies,1/2 cup Coriander (Dhania) Leaves - chopped,2 teaspoons Lemon juice,1 teaspoon Sugar,1.5 tablespoons Extra Virgin Olive Oil,Salt - Salt to taste"
गोबी के कोफ्ते रेसिपी - gobi ke kofte (recipe in hindi),Vegetarian,"1 बड़ा चमच्च अदरक लहसुन का पेस्ट,1/2 कप दही,2 प्याज - पेस्ट बना ले,2 तेज पत्ता,2 बड़ी इलाइची,1/2 इंच दाल चीनी,1 छोटा चमच्च लाल मिर्च पाउडर,1/2 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च धनिया पाउडर,नमक - प्रयोग अनुसार,तेल - प्रयोग अनुसार,पानी - प्रयोग अनुसार,2 टहनी हरा धनिया - बारीक काट ले,250 ग्राम गोभी - कस ले,1/2 कप बेसन,1 छोटा चमच्च लाल मिर्च पाउडर,2 हरी मिर्च - बारीक काट ले,नमक - प्रयोग अनुसार,पानी - प्रयोग अनुसार,तेल - प्रयोग अनुसार"
jerk chicken with rice and peas pilaf recipe,High Protein Non Vegetarian,"1 kg Chicken - (thigh and drumstick),2 tablespoons Sunflower Oil,1 Barbeque sauce - or bottle jerk barbecue sauce,Spring Onion (Bulb & Greens) - a bunch,1 teaspoon Lemon juice,250 grams Basmati rice,1 cup Green peas (Matar),1 cup Coconut milk,1/2 cup Spring Onion (Bulb & Greens) - finely chopped,1 sprig Fresh Thyme leaves,2 cloves Garlic - fine chopped,1 Bay leaf (tej patta),1 teaspoon All spice powder"
tomato basil pasta and pizza sauce recipe,High Protein Non Vegetarian,"1 kg Blanched tomatoes,2 tablespoons Extra Virgin Olive Oil,4 cloves Garlic - finely chopped,1 Onion - finely chopped,Basil leaves - a few sprigs roughly torn,Salt - to taste,Whole Black Peppercorns - coarsely pounded,2 teaspoons Sugar"
मटर कीमा रेसिपी - matar keema (recipe in hindi),Vegetarian,"1 कप हरे मटर - उबालकर मैश कर ले,1 आलू - उबालकर मैश कर ले,1/2 कप पनीर - चुरा कर ले,1 टमाटर - बारीक काट ले,1/4 कप टमाटर प्यूरी,1/2 छोटा चमच्च जीरा,1/2 छोटा चमच्च राइ,हींग - चुटकी भर,1 प्याज - बारीक काट ले,1 बड़ा चमच्च अदरक लहसुन का पेस्ट,1 छोटा चमच्च लाल मिर्च पाउडर,1/2 छोटा चमच्च हल्दी पाउडर,हरा धनिया - थोड़े,1 छोटा चमच्च धनिया पाउडर,1/2 छोटा चमच्च गरम मसाला पाउडर,तेल - प्रयोग अनुसार,पानी - प्रयोग अनुसार,नमक - प्रयोग अनुसार"
foxtail millet pilaf recipe,Diabetic Friendly,"1 cup Foxtail Millet,250 grams Button mushrooms - quartered,1 inch Cinnamon Stick (Dalchini),1 Cardamom (Elaichi) Pods/Seeds,1 Onion - sliced,4 cloves Garlic - chopped,1 tablespoon Dried oregano,1 tablespoon Rosemary,1 teaspoon Black pepper powder,1/4 teaspoon Turmeric powder (Haldi),4 Prunes - sliced,1 tablespoon Raisins,Salt - to taste"
सिंधी कढ़ी रेसिपी - sindhi kadhi (recipe in hindi),High Protein Vegetarian,"1 कप अरहर दाल,1 टमाटर,1 कप भिंडी - सीधा काट ले,2 बड़े चमच्च तेल,1 छोटा चमच्च मेथी के दाने,1 छोटा चमच्च राइ,2 सुखी लाल मिर्च,10 कढ़ी पत्ता,हींग - चुटकी भर,2 बड़ा चमच्च बेसन,1 छोटा चमच्च लाल मिर्च पाउडर,1 बड़ा चमच्च इमली का पेस्ट,1 छोटा चमच्च हल्दी पाउडर,1 बड़ा चमच्च गुड़ - पाउडर कर ले,नमक - स्वाद अनुसार"
तोगरिकायी उसली रेसिपी - togarikaayi usli recipe,High Protein Vegetarian,"2 कप हरी तुअर दाल - ताज़ी,1/4 कप तेल,10 हरी मिर्च,2 लहसुन,1/2 कप हरा धनिया - काट ले,नमक - स्वाद अनुसार,1 बड़ा चमच्च मक्खन,1 छोटा चमच्च राइ"
kothavarangai poriyal recipe - south indian style cluster beans sabzi,Vegetarian,"500 grams Gawar Phali (Kothavarangai / Cluster beans) - finely chopped,1 Onion - finely chopped,1 teaspoon Mustard seeds,1 Dry Red Chilli,1 sprig Curry leaves,Asafoetida (hing) - a pinch,4 tablespoons Fresh coconut - grated,1 Green Chilli,2 teaspoons Sunflower Oil,Salt - to taste"
kachcha kela masala sabzi recipe (raw banana with tomatoes & spices),Vegetarian,"2 Raw Banana,2 Tomatoes - finely chopped,1 inch Ginger - grated,2 Bay leaves (tej patta),1 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,Red Chilli powder - as required to taste,Salt - as required to taste"
